x,y,pressure,azimuth,altitude,tangentPressure,time,Serial number
1030,491,0,0,90,0,20:55:26:570,2
1035,480,0,0,90,0,20:55:26:578,2
1045,464,0,0,90,0,20:55:26:585,2
1062,428,0,0,90,0,20:55:26:593,2
1085,385,0,0,90,0,20:55:26:600,2
1109,345,0,0,90,0,20:55:26:609,2
1124,310,0,0,90,0,20:55:26:616,2
1134,287,0,0,90,0,20:55:26:623,2
1140,272,0,0,90,0,20:55:26:635,2
1145,260,0,0,90,0,20:55:26:637,2
1149,249,0,0,90,0,20:55:26:646,2
1151,244,0,0,90,0,20:55:26:653,2
1153,231,0,0,90,0,20:55:26:669,2
1153,227,0,0,90,0,20:55:26:676,2
1154,224,0,0,90,0,20:55:26:682,2
1154,221,0,0,90,0,20:55:26:692,2
1155,216,0,0,90,0,20:55:26:698,2
1156,212,0,0,90,0,20:55:26:707,2
1158,205,0,0,90,0,20:55:26:713,2
1158,193,0,0,90,0,20:55:26:719,2
1160,178,0,0,90,0,20:55:26:729,2
1162,163,0,0,90,0,20:55:26:737,2
1163,146,0,0,90,0,20:55:26:750,2
1164,135,0,0,90,0,20:55:26:751,2
1166,124,0,0,90,0,20:55:26:760,2
1166,118,0,0,90,0,20:55:26:766,2
1166,114,0,0,90,0,20:55:26:774,2
1165,110,0,0,90,0,20:55:26:782,2
1164,104,0,0,90,0,20:55:26:788,2
1161,99,0,0,90,0,20:55:26:796,2
1157,91,0,0,90,0,20:55:26:814,2
1154,86,0,0,90,0,20:55:26:819,2
1149,80,0,0,90,0,20:55:26:826,2
1143,74,0,0,90,0,20:55:26:835,2
1134,66,0,0,90,0,20:55:26:845,2
1121,55,0,0,90,0,20:55:26:848,2
1100,42,0,0,90,0,20:55:26:856,2
1075,31,0,0,90,0,20:55:26:864,2
1054,25,0,0,90,0,20:55:26:871,2
1040,19,0,0,90,0,20:55:26:878,2
1028,17,0,0,90,0,20:55:26:887,2
1015,14,0,0,90,0,20:55:26:894,2
1003,10,0,0,90,0,20:55:26:902,2
992,7,0,0,90,0,20:55:26:910,2
982,5,0,0,90,0,20:55:26:917,2
972,3,0,0,90,0,20:55:26:925,2
963,2,0,0,90,0,20:55:26:938,2
954,1,0,0,90,0,20:55:26:940,2
946,0,0,0,90,0,20:55:26:950,2
936,0,0,0,90,0,20:55:26:957,2
927,0,0,0,90,0,20:55:26:963,2
917,0,0,0,90,0,20:55:26:971,2
909,1,0,0,90,0,20:55:26:978,2
902,2,0,0,90,0,20:55:26:987,2
896,5,0,0,90,0,20:55:26:994,2
892,6,0,0,90,0,20:55:27:01,2
885,7,0,0,90,0,20:55:27:08,2
879,9,0,0,90,0,20:55:27:17,2
872,11,0,0,90,0,20:55:27:24,2
858,16,0,0,90,0,20:55:27:39,2
851,19,0,0,90,0,20:55:27:47,2
843,21,0,0,90,0,20:55:27:55,2
826,29,0,0,90,0,20:55:27:71,2
815,34,0,0,90,0,20:55:27:81,2
801,42,0,0,90,0,20:55:27:86,2
787,51,0,0,90,0,20:55:27:93,2
773,59,0,0,90,0,20:55:27:101,2
762,66,0,0,90,0,20:55:27:110,2
750,74,0,0,90,0,20:55:27:116,2
739,81,0,0,90,0,20:55:27:124,2
727,89,0,0,90,0,20:55:27:135,2
714,97,0,0,90,0,20:55:27:140,2
702,106,0,0,90,0,20:55:27:147,2
691,114,0,0,90,0,20:55:27:155,2
680,123,0,0,90,0,20:55:27:166,2
669,131,0,0,90,0,20:55:27:171,2
662,139,0,0,90,0,20:55:27:177,2
654,147,0,0,90,0,20:55:27:187,2
644,156,0,0,90,0,20:55:27:197,2
635,167,0,0,90,0,20:55:27:202,2
624,178,0,0,90,0,20:55:27:209,2
616,191,0,0,90,0,20:55:27:217,2
598,214,0,0,90,0,20:55:27:233,2
591,226,0,0,90,0,20:55:27:240,2
584,237,0,0,90,0,20:55:27:248,2
577,253,0,0,90,0,20:55:27:255,2
572,266,0,0,90,0,20:55:27:265,2
564,284,0,0,90,0,20:55:27:271,2
559,298,0,0,90,0,20:55:27:280,2
555,311,0,0,90,0,20:55:27:286,2
551,324,0,0,90,0,20:55:27:296,2
548,334,0,0,90,0,20:55:27:302,2
545,344,0,0,90,0,20:55:27:309,2
544,354,0,0,90,0,20:55:27:318,2
544,366,0,0,90,0,20:55:27:329,2
544,376,0,0,90,0,20:55:27:333,2
546,387,0,0,90,0,20:55:27:340,2
548,397,0,0,90,0,20:55:27:349,2
552,409,0,0,90,0,20:55:27:357,2
556,419,0,0,90,0,20:55:27:363,2
562,430,0,0,90,0,20:55:27:371,2
567,441,0,0,90,0,20:55:27:379,2
573,450,0,0,90,0,20:55:27:387,2
583,461,0,0,90,0,20:55:27:395,2
596,473,0,0,90,0,20:55:27:401,2
613,487,0,0,90,0,20:55:27:409,2
637,504,0,0,90,0,20:55:27:417,2
667,522,0,0,90,0,20:55:27:426,2
695,533,0,0,90,0,20:55:27:433,2
724,545,0,0,90,0,20:55:27:439,2
751,554,0,0,90,0,20:55:27:447,2
782,564,0,0,90,0,20:55:27:455,2
822,570,0,0,90,0,20:55:27:467,2
864,574,0,0,90,0,20:55:27:469,2
909,578,0,0,90,0,20:55:27:478,2
